time	ms	value
10:15:59	1748540	980
10:16:00	1749520	940
10:16:01	1750460	912
10:16:02	1751372	972
10:16:03	1752344	988
10:16:04	1753332	1044
10:16:05	1754376	1072
10:16:06	1755448	1088
10:16:07	1756536	1092
10:16:08	1757628	1072
10:16:09	1758700	1036
10:16:10	1759736	1068
10:16:11	1760804	1092
10:16:12	1761896	1096
10:16:13	1762992	1104
10:16:15	1764096	1100
10:16:16	1765196	1112
10:16:17	1766308	1084
10:16:18	1767392	1024
10:16:19	1768416	1048
10:16:20	1769464	1036
10:16:21	1770500	1048
10:16:22	1771548	1104
10:16:23	1772652	1060
10:16:24	1773712	1096
10:16:25	1774808	1128
10:16:26	1775936	1120
10:16:28	1777056	1104
10:16:29	1778160	1112
10:16:30	1779272	1068
10:16:31	1780340	1044
10:16:32	1781384	1024
10:16:33	1782408	1028
10:16:34	1783436	984
10:16:35	1784420	1004
10:16:36	1785424	996
10:16:37	1786420	1020
10:16:38	1787440	1016
10:16:39	1788456	1016
10:16:40	1789472	980
10:16:41	1790452	984
10:16:42	1791436	956
10:16:43	1792392	984
10:16:44	1793376	956
10:16:45	1794332	984
10:16:46	1795316	980
10:16:47	1796296	968
10:16:48	1797264	968
10:16:49	1798232	1012
10:16:50	1799244	984
10:16:51	1800228	1016
10:16:52	1801244	1024
10:16:53	1802268	1012
10:16:54	1803280	1028
10:16:55	1804308	1008
10:16:56	1805316	1036
10:16:57	1806352	1012
10:16:58	1807364	1040
10:16:59	1808404	1020
10:17:00	1809424	1024
10:17:01	1810448	1028
10:17:02	1811476	1004
10:17:03	1812480	1012
10:17:04	1813492	1024
10:17:05	1814516	1004
10:17:06	1815520	1040
10:17:07	1816560	1060
10:17:08	1817620	1072
10:17:09	1818692	1068
10:17:10	1819760	1076
10:17:11	1820836	1076
10:17:12	1821912	1072
10:17:13	1822984	1064
10:17:15	1824048	1044
10:17:16	1825092	1036
10:17:17	1826128	1036
10:17:18	1827164	1036
10:17:19	1828200	1052
10:17:20	1829252	1052
10:17:21	1830304	1052
10:17:22	1831356	1052
10:17:23	1832408	1020
10:17:24	1833428	1052
10:17:25	1834480	1040
10:17:26	1835520	1036
10:17:27	1836556	1044
10:17:28	1837600	1008
10:17:29	1838608	1036
10:17:30	1839644	1028
10:17:31	1840672	1012
10:17:32	1841684	1020
10:17:33	1842704	1004
10:17:34	1843708	984
10:17:35	1844692	1004
10:17:36	1845696	1032
10:17:37	1846728	1012
10:17:38	1847740	1032
10:17:39	1848772	1044
